# REFLECTION COEFFICIENT
# 
# Ion          : carbon   
# Target       : tungsten
# Software     : RustBCA v.1.2.0 
# Repository   : https://github.com/lcpp-org/RustBCA
# Legend
# First column : energy [eV]
# First row    : angles [deg]
# Table        : reflection coefficient [atoms/ion]

5.964e+01, 6.448e-01, 6.496e-01, 6.630e-01, 6.971e-01, 7.378e-01, 7.930e-01, 8.588e-01, 9.205e-01, 9.647e-01, 9.756e-01
6.866e+01, 6.304e-01, 6.342e-01, 6.534e-01, 6.796e-01, 7.226e-01, 7.808e-01, 8.480e-01, 9.157e-01, 9.665e-01, 9.779e-01
7.906e+01, 6.199e-01, 6.216e-01, 6.368e-01, 6.675e-01, 7.087e-01, 7.679e-01, 8.393e-01, 9.087e-01, 9.675e-01, 9.795e-01
9.103e+01, 6.063e-01, 6.046e-01, 6.195e-01, 6.519e-01, 6.966e-01, 7.580e-01, 8.285e-01, 9.068e-01, 9.669e-01, 9.822e-01
1.048e+02, 5.873e-01, 5.894e-01, 6.068e-01, 6.389e-01, 6.823e-01, 7.418e-01, 8.161e-01, 8.983e-01, 9.673e-01, 9.838e-01
1.207e+02, 5.766e-01, 5.801e-01, 5.950e-01, 6.261e-01, 6.671e-01, 7.257e-01, 8.062e-01, 8.922e-01, 9.665e-01, 9.850e-01
1.389e+02, 5.641e-01, 5.686e-01, 5.823e-01, 6.126e-01, 6.556e-01, 7.162e-01, 7.958e-01, 8.853e-01, 9.650e-01, 9.857e-01
1.600e+02, 5.525e-01, 5.554e-01, 5.731e-01, 6.027e-01, 6.415e-01, 7.042e-01, 7.834e-01, 8.760e-01, 9.641e-01, 9.871e-01
1.842e+02, 5.406e-01, 5.433e-01, 5.599e-01, 5.899e-01, 6.326e-01, 6.919e-01, 7.701e-01, 8.661e-01, 9.627e-01, 9.872e-01
2.121e+02, 5.286e-01, 5.346e-01, 5.498e-01, 5.763e-01, 6.205e-01, 6.781e-01, 7.599e-01, 8.566e-01, 9.608e-01, 9.876e-01
2.442e+02, 5.178e-01, 5.268e-01, 5.417e-01, 5.686e-01, 6.088e-01, 6.659e-01, 7.438e-01, 8.474e-01, 9.577e-01, 9.888e-01
2.812e+02, 5.104e-01, 5.169e-01, 5.296e-01, 5.594e-01, 5.989e-01, 6.573e-01, 7.338e-01, 8.363e-01, 9.546e-01, 9.887e-01
3.237e+02, 5.050e-01, 5.075e-01, 5.220e-01, 5.487e-01, 5.893e-01, 6.459e-01, 7.214e-01, 8.276e-01, 9.511e-01, 9.887e-01
3.728e+02, 4.953e-01, 5.003e-01, 5.146e-01, 5.431e-01, 5.792e-01, 6.351e-01, 7.126e-01, 8.139e-01, 9.476e-01, 9.892e-01
4.292e+02, 4.870e-01, 4.905e-01, 5.089e-01, 5.335e-01, 5.709e-01, 6.229e-01, 6.989e-01, 8.029e-01, 9.425e-01, 9.884e-01
4.942e+02, 4.799e-01, 4.830e-01, 5.009e-01, 5.223e-01, 5.655e-01, 6.163e-01, 6.882e-01, 7.919e-01, 9.375e-01, 9.888e-01
5.690e+02, 4.712e-01, 4.787e-01, 4.908e-01, 5.172e-01, 5.529e-01, 6.088e-01, 6.792e-01, 7.799e-01, 9.294e-01, 9.878e-01
6.551e+02, 4.647e-01, 4.683e-01, 4.853e-01, 5.101e-01, 5.470e-01, 5.989e-01, 6.689e-01, 7.671e-01, 9.219e-01, 9.876e-01
7.543e+02, 4.567e-01, 4.607e-01, 4.782e-01, 5.034e-01, 5.395e-01, 5.914e-01, 6.597e-01, 7.563e-01, 9.143e-01, 9.863e-01
8.685e+02, 4.482e-01, 4.548e-01, 4.702e-01, 4.950e-01, 5.342e-01, 5.837e-01, 6.494e-01, 7.472e-01, 9.044e-01, 9.849e-01
1.000e+03, 4.439e-01, 4.474e-01, 4.608e-01, 4.917e-01, 5.269e-01, 5.750e-01, 6.420e-01, 7.349e-01, 8.963e-01, 9.831e-01
